[2025-07-04 00:37:49] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.1","3.34235","0","2"],["2574.23","0.1","0","1"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.29","0.1038","0"
[2025-07-04 00:37:49] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.23","1.751","0","3"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.29","0.1","0","1"],["2574.35","0.6","0","2"
[2025-07-04 00:37:49] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.23","1.6511","0","3"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.35","0.6","0","2"],["2574.37","0.738336","
[2025-07-04 00:37:49] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.23","9.276516","0","7"],["2574.26","1.084247","0","2"],["2574.27","0.2","0","1"],["2574.35","0.6","0","2"],["2574.37","0.738336"
[2025-07-04 00:37:50] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.23","9.287316","0","8"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.35","0.6","0","2"],["2574.37","0.738336"
[2025-07-04 00:37:50] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.23","9.387316","0","9"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.28","0.1","0","1"],["2574.34","0.1","0",
[2025-07-04 00:37:50] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.23","9.342156","0","9"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.28","0.1","0","1"],["2574.34","0.1","0",
[2025-07-04 00:37:50] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.23","9.341919","0","9"],["2574.26","0.492641","0","1"],["2574.27","0.2","0","1"],["2574.28","0.1","0","1"],["2574.34","0.1","0",
[2025-07-04 00:37:51] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.21","23.84983","0","11"],["2574.22","0.653558","0","2"],["2574.23","0.1001","0","2"],["2574.27","0.2","0","1"],["2574.28","0.1",
[2025-07-04 00:37:51] DEBUG: WSOB RAW: {"arg":{"channel":"books5","instId":"ETH-USDT"},"data":[{"asks":[["2574.21","23.84983","0","11"],["2574.22","0.653558","0","2"],["2574.23","0.1001","0","2"],["2574.27","0.2","0","1"],["2574.34","0.1",
